,Days,Ab_1,Ab_2,Ab_3,Ab_4,Ab_5,Ab_6,Ab_7,Ab_8,Ab_9,Ab_10
33,34,0.8051061785877787,0.8051061785877787,0.8051061785877787,0.8051061785877787,0.8051061785877787,0.8051061785877787,0.8051061785877787,0.8051061785877787,0.8051061785877787,0.8051061785877787
34,35,0.79378561125769,0.79378561125769,0.79378561125769,0.79378561125769,0.79378561125769,0.79378561125769,0.79378561125769,0.79378561125769,0.79378561125769,0.79378561125769
35,36,0.7825864771864378,0.7825864771864378,0.7825864771864378,0.7825864771864378,0.7825864771864378,0.7825864771864378,0.7825864771864378,0.7825864771864378,0.7825864771864378,0.7825864771864378
36,37,0.7715145558958393,0.7715145558958393,0.7715145558958393,0.7715145558958393,0.7715145558958393,0.7715145558958393,0.7715145558958393,0.7715145558958393,0.7715145558958393,0.7715145558958393
37,38,0.7605741601178048,0.7605741601178048,0.7605741601178048,0.7605741601178048,0.7605741601178048,0.7605741601178048,0.7605741601178048,0.7605741601178048,0.7605741601178048,0.7605741601178048
38,39,0.7497684114960915,0.7497684114960915,0.7497684114960915,0.7497684114960915,0.7497684114960915,0.7497684114960915,0.7497684114960915,0.7497684114960915,0.7497684114960915,0.7497684114960915
39,40,0.739099465470164,0.739099465470164,0.739099465470164,0.739099465470164,0.739099465470164,0.739099465470164,0.739099465470164,0.739099465470164,0.739099465470164,0.739099465470164
40,41,0.7285686946939295,0.7285686946939295,0.7285686946939295,0.7285686946939295,0.7285686946939295,0.7285686946939295,0.7285686946939295,0.7285686946939295,0.7285686946939295,0.7285686946939295
41,42,0.718176838620986,0.718176838620986,0.718176838620986,0.718176838620986,0.718176838620986,0.718176838620986,0.718176838620986,0.718176838620986,0.718176838620986,0.718176838620986
42,43,0.7079241254836242,0.7079241254836242,0.7079241254836242,0.7079241254836242,0.7079241254836242,0.7079241254836242,0.7079241254836242,0.7079241254836242,0.7079241254836242,0.7079241254836242
43,44,0.6978103717468567,0.6978103717468567,0.6978103717468567,0.6978103717468567,0.6978103717468567,0.6978103717468567,0.6978103717468567,0.6978103717468567,0.6978103717468567,0.6978103717468567
44,45,0.6878350631836744,0.6878350631836744,0.6878350631836744,0.6878350631836744,0.6878350631836744,0.6878350631836744,0.6878350631836744,0.6878350631836744,0.6878350631836744,0.6878350631836744
45,46,0.6779974209547204,0.6779974209547204,0.6779974209547204,0.6779974209547204,0.6779974209547204,0.6779974209547204,0.6779974209547204,0.6779974209547204,0.6779974209547204,0.6779974209547204
46,47,0.6682964554529812,0.6682964554529812,0.6682964554529812,0.6682964554529812,0.6682964554529812,0.6682964554529812,0.6682964554529812,0.6682964554529812,0.6682964554529812,0.6682964554529812
47,48,0.658731010166062,0.658731010166062,0.658731010166062,0.658731010166062,0.658731010166062,0.658731010166062,0.658731010166062,0.658731010166062,0.658731010166062,0.658731010166062
48,49,0.6492997973940893,0.6492997973940893,0.6492997973940893,0.6492997973940893,0.6492997973940893,0.6492997973940893,0.6492997973940893,0.6492997973940893,0.6492997973940893,0.6492997973940893
49,50,0.6400014273230161,0.6400014273230161,0.6400014273230161,0.6400014273230161,0.6400014273230161,0.6400014273230161,0.6400014273230161,0.6400014273230161,0.6400014273230161,0.6400014273230161
50,51,0.6308344316771113,0.6308344316771113,0.6308344316771113,0.6308344316771113,0.6308344316771113,0.6308344316771113,0.6308344316771113,0.6308344316771113,0.6308344316771113,0.6308344316771113
51,52,0.6217972829491888,0.6217972829491888,0.6217972829491888,0.6217972829491888,0.6217972829491888,0.6217972829491888,0.6217972829491888,0.6217972829491888,0.6217972829491888,0.6217972829491888
52,53,0.6128884100233687,0.6128884100233687,0.6128884100233687,0.6128884100233687,0.6128884100233687,0.6128884100233687,0.6128884100233687,0.6128884100233687,0.6128884100233687,0.6128884100233687
53,54,0.6041062108552051,0.6041062108552051,0.6041062108552051,0.6041062108552051,0.6041062108552051,0.6041062108552051,0.6041062108552051,0.6041062108552051,0.6041062108552051,0.6041062108552051
54,55,0.595449062751659,0.595449062751659,0.595449062751659,0.595449062751659,0.595449062751659,0.595449062751659,0.595449062751659,0.595449062751659,0.595449062751659,0.595449062751659
55,56,0.5869153306935526,0.5869153306935526,0.5869153306935526,0.5869153306935526,0.5869153306935526,0.5869153306935526,0.5869153306935526,0.5869153306935526,0.5869153306935526,0.5869153306935526
56,57,0.5785033740616746,0.5785033740616746,0.5785033740616746,0.5785033740616746,0.5785033740616746,0.5785033740616746,0.5785033740616746,0.5785033740616746,0.5785033740616746,0.5785033740616746
57,58,0.5702115520612268,0.5702115520612268,0.5702115520612268,0.5702115520612268,0.5702115520612268,0.5702115520612268,0.5702115520612268,0.5702115520612268,0.5702115520612268,0.5702115520612268
58,59,0.5620382280850614,0.5620382280850614,0.5620382280850614,0.5620382280850614,0.5620382280850614,0.5620382280850614,0.5620382280850614,0.5620382280850614,0.5620382280850614,0.5620382280850614
59,60,0.5539817732118993,0.5539817732118993,0.5539817732118993,0.5539817732118993,0.5539817732118993,0.5539817732118993,0.5539817732118993,0.5539817732118993,0.5539817732118993,0.5539817732118993
60,61,0.5460405689995986,0.5460405689995986,0.5460405689995986,0.5460405689995986,0.5460405689995986,0.5460405689995986,0.5460405689995986,0.5460405689995986,0.5460405689995986,0.5460405689995986
61,62,0.5382130097040793,0.5382130097040793,0.5382130097040793,0.5382130097040793,0.5382130097040793,0.5382130097040793,0.5382130097040793,0.5382130097040793,0.5382130097040793,0.5382130097040793
