condition,condition_subtype,group
BD55-5575,class 4,F1
BD55-5577,class 4,F1
BD55-5579,class 4,F1
BD55-5580,class 1,A
BD55-5583,class 3,E3
BD55-5585,class 3,E1
BD55-5588,class 4,F3
BD55-5591,class 3,E1
BD55-5593,class 4,F3
BD55-5594,class 4,F2
BD55-5598,class 3,E2.2
BD55-5609,class 4,F1
BD55-5610,class 4,F2
BD55-5612,class 3,E1
BD55-5615,class 4,F3
BD55-5617,class 3,E2.2
BD55-5620,class 4,F2
BD55-5625,class 3,E3
BD55-5629,class 4,F3
BD55-5630,class 3,E3
BD55-5634,class 2,C
BD55-5636,class 4,F1
BD55-5638,class 4,F2
BD55-5640,class 4,F2
BD55-5643,class 3,E1
BD55-5644,class 3,E1
BD55-5649,class 4,F3
BD55-5655,class 1,B
BD55-5662,class 4,F2
BD55-5675,class 4,F2
BD55-5676,class 4,F2
BD55-5687,class 3,E3
BD55-5690,class 4,F2
BD55-5694,class 4,F2
BD55-5697,class 3,E1
BD55-5699,class 4,F2
BD55-5700,class 4,F2
BD55-5713,class 4,F3
BD55-5715,class 4,F3
BD55-5718,class 3,E1
BD55-5721,class 3,D1
BD55-5728,class 3,E1
BD55-5731,class 1,A
BD55-5736,class 4,F2
BD55-5737,class 4,F2
BD55-5743,class 1,A
BD55-5745,class 1,B
BD55-5747,class 2,C
BD55-5752,class 3,E3
BD55-5761,class 4,F3
BD55-5770,class 4,F1
BD55-5774,class 1,B
BD55-5779,class 3,E1
BD55-5784,class 4,F1
BD55-5785,class 4,F3
BD55-5789,class 3,E2.2
BD55-5790,class 4,F1
BD55-5792,class 4,F2
BD55-5794,class 4,F1
BD55-5810,class 4,F3
BD55-5811,class 1,B
BD55-5815,class 4,F1
BD55-5830,class 3,E3
BD55-5831,class 4,F2
BD55-5832,class 3,E1
BD55-5836,class 3,D1
BD55-5839,class 4,F2
BD55-5840,class 3,E1
BD55-5844,class 3,E2.2
BD55-5854,class 2,C
BD55-5856,class 1,A
BD55-5858,class 3,E3
BD55-5874,class 4,F2
BD55-5878,class 4,F2
BD55-5879,class 4,F1
BD55-5889,class 4,F1
BD55-5900,class 4,F1
BD55-5906,class 4,F3
BD55-5909,class 2,C
BD55-5927,class 4,F2
BD55-5961,class 4,F1
BD55-5966,class 1,A
BD55-5992,class 3,E3
BD55-600,class 1,A
BD55-6015,class 4,F2
BD55-6025,class 4,F3
BD55-6030,class 4,F2
BD55-6033,class 4,F2
BD55-6034,class 4,F1
BD55-6037,class 4,F1
BD55-6038,class 4,F1
BD55-6041,class 3,E3
BD55-6055,class 4,F1
BD55-6063,class 4,F2
BD55-6066,class 4,F2
BD55-6068,class 4,F2
BD55-6069,class 4,F3
BD55-6075,class 4,F1
BD55-6078,class 3,E2.2
BD55-6080,class 4,F2
BD55-6086,class 4,F2
BD55-6088,class 4,F2
BD55-6092,class 4,F2
BD55-6095,class 4,F2
BD55-6103,class 4,F2
BD55-6105,class 4,F2
BD55-6112,class 4,F3
BD55-6190,class 4,F2
BD55-6195,class 4,F3
BD55-6197,class 4,F2
BD55-6203,class 4,F3
BD55-6206,class 4,F3
BD55-6208,class 4,F3
BD55-6222,class 4,F1
BD55-6231,class 4,F2
BD55-6234,class 3,E3
BD55-6241,class 3,E1
BD55-6243,class 4,F2
BD55-6251,class 4,F2
BD55-6261,class 4,F3
BD55-6262,class 4,F2
BD55-6263,class 4,F2
BD55-6283,class 4,F2
BD55-6305,class 4,F2
BD55-6306,class 4,F2
BD55-6308,class 4,F2
BD55-6317,class 4,F2
BD55-632,class 4,F2
BD55-6329,class 4,F3
BD55-6340,class 4,F3
BD55-6346,class 3,E3
BD55-6379,class 4,F2
BD55-6382,class 1,B
BD55-6383,class 1,B
BD55-6385,class 3,D1
BD55-6392,class 4,F2
BD55-6411,class 4,F3
BD55-6413,class 1,A
BD55-6447,class 4,F3
BD55-6477,class 4,F3
BD55-6478,class 4,F3
BD55-6486,class 4,F2
BD55-6507,class 4,F2
BD55-6510,class 4,F2
BD55-6511,class 3,E2.2
BD55-6520,class 4,F3
BD55-6527,class 4,F3
BD55-6552,class 4,F3
BD55-6564,class 4,F2
BD55-6585,class 3,E3
