,Days,Ab_1,Ab_2,Ab_3
91,91,0.4819647288788413,0.4819647288788413,0.4819647288788413
92,92,0.4771473360072516,0.4771473360072516,0.4771473360072516
93,93,0.47237809450671814,0.47237809450671814,0.47237809450671814
94,94,0.46765652309404043,0.46765652309404043,0.46765652309404043
95,95,0.4629821452954897,0.4629821452954897,0.4629821452954897
96,96,0.45835448939896856,0.45835448939896856,0.45835448939896856
97,97,0.45377308840660147,0.45377308840660147,0.45377308840660147
98,98,0.4492374799877596,0.4492374799877596,0.4492374799877596
99,99,0.4447472064325252,0.4447472064325252,0.4447472064325252
100,100,0.44030181460559664,0.44030181460559664,0.44030181460559664
101,101,0.43590085590063543,0.43590085590063543,0.43590085590063543
102,102,0.4315438861950546,0.4315438861950546,0.4315438861950546
103,103,0.42723046580524715,0.42723046580524715,0.42723046580524715
